postId,condition,used_search,chart,if_located,search_state,search_content,duration
j0b7556z,control,non-search,Electronic shopping and auctions,FALSE,non_search,,3031
j0b7556z,control,non-search,"Business, environmental and other consulting",FALSE,non_search,,32
j0b7556z,control,non-search,Power generation and distribution,FALSE,non_search,,230
j0b7556z,control,non-search,Sales financing,FALSE,non_search,,538
j0b7556z,control,non-search,Engineering and drafting services,FALSE,non_search,,31
j0b7556z,control,non-search,"Cafeterias, grill buffets and buffets",FALSE,non_search,,752
j0b7556z,control,non-search,Laundromats and dry cleaning services,FALSE,non_search,,281
j0b7556z,control,non-search,Vending machine operators,FALSE,non_search,,678
j0b7556z,control,non-search,Textile product mills,FALSE,non_search,,620
j0b7556z,control,non-search,Printing and related activities,FALSE,non_search,,642
j0b7556z,control,non-search,Electronics stores,FALSE,non_search,,742
j0b7556z,control,non-search,Cemeteries and crematories,FALSE,non_search,,665
j0b7556z,control,non-search,Electronics stores,FALSE,non_search,,146
j0b7556z,control,non-search,Motion picture and sound recording industries,FALSE,non_search,,154
j0b7556z,control,non-search,Architectural services,FALSE,non_search,,478
j0b7556z,control,non-search,Offices of holding companies,FALSE,non_search,,383
j0b7556z,control,non-search,"Physical, engineering, life sciences research",FALSE,non_search,,835
j0b7556z,control,non-search,Software publishers,FALSE,non_search,,687
j0b7556z,control,non-search,Computer systems design and programming,FALSE,non_search,,667
j0b7556z,control,non-search,"Business, environmental and other consulting",FALSE,non_search,,784
j0b7556z,control,non-search,"Independent artists, writers and performers",FALSE,non_search,,917
j0b7556z,control,non-search,Specialty hospitals (not psychiatric/substance abuse),FALSE,non_search,,755
j0b7556z,control,non-search,"Internet publishing, broadcasting, search",FALSE,non_search,,758
j0b7556z,control,non-search,"Other professional services (translation, interpretation)",FALSE,non_search,,675
j0b7556z,control,non-search,Electronic shopping and auctions,FALSE,non_search,,577
j0b7556z,control,non-search,Services for the elderly and disabled,FALSE,non_search,,903
j0b7556z,control,non-search,Nail salons,FALSE,non_search,,649
j0b7556z,control,non-search,Services for the elderly and disabled,FALSE,non_search,,32
j0b7556z,control,non-search,Psychiatric and substance abuse hospitals,FALSE,non_search,,728
j0b7556z,control,non-search,Warehousing and storage,FALSE,non_search,,892
j0b7556z,control,non-search,"Mini golf courses, shooting ranges, other recreation",FALSE,non_search,,841
j0b7556z,control,non-search,Commercial machinery repair and maintenance,FALSE,non_search,,441
j0b7556z,control,non-search,"Insurance agencies, brokerages, related services",FALSE,non_search,,579
j0b7556z,control,non-search,Natural gas distribution,FALSE,non_search,,81
j0b7556z,control,non-search,Legal services,FALSE,non_search,,710
j0b7556z,control,non-search,Communications equipment manufacturing,FALSE,non_search,,224
j0b7556z,control,non-search,"Telecommunications resellers, satellite and VoIP",FALSE,non_search,,830
j0b7556z,control,non-search,Securities and commodity contracts,FALSE,non_search,,987
j0b7556z,control,non-search,Communications equipment manufacturing,FALSE,non_search,,702
j0b7556z,control,non-search,"Semiconductor, electronic component manufacturing",FALSE,non_search,,797
j0b7556z,control,non-search,Industrial building,FALSE,non_search,,337
j0b7556z,control,non-search,Graphic design services,FALSE,non_search,,416
j0b7556z,control,non-search,Electronics stores,FALSE,non_search,,475
j0b7556z,control,non-search,Cemeteries and crematories,FALSE,non_search,,184
j0b7556z,control,non-search,Truck transportation,FALSE,non_search,,52
j0b7556z,control,non-search,"Blood and organ banks, health screenings/programs",FALSE,non_search,,26
j0b7556z,control,non-search,"Other professional services (translation, interpretation)",FALSE,non_search,,100
j0b7556z,control,non-search,Testing laboratories,FALSE,non_search,,7
j0b7556z,control,non-search,Processing of financial transactions,FALSE,non_search,,69
j0b7556z,control,non-search,Accounting and bookkeeping services,FALSE,non_search,,766
j0b7556z,control,non-search,"Building finishing contractors (drywall, painting)",FALSE,non_search,,540
j0b7556z,control,non-search,General contractors for new homes,FALSE,non_search,,1042
j0b7556z,control,non-search,"Musical, theater, dance, other performance companies",FALSE,non_search,,190
j0b7556z,control,non-search,"Outpatient care centers, except mental health",FALSE,non_search,,5640
j0b7556z,control,non-search,"Agents, managers, arts and sports promoters",FALSE,non_search,,483
j0b7556z,control,non-search,Psychiatric and substance abuse hospitals,FALSE,non_search,,1264
j0b7556z,control,non-search,Temporary help services,FALSE,non_search,,235
j0b7556z,control,non-search,Lessors of residential buildings,FALSE,non_search,,1025
j0b7556z,control,non-search,Paper and paper product manufacturing,FALSE,non_search,,540
j0b7556z,control,non-search,"Building inspection, surveying and mapping",FALSE,non_search,,439
j0b7556z,control,non-search,Landscape architectural services,FALSE,non_search,,871
j0b7556z,control,non-search,Sales financing,FALSE,non_search,,581
j0b7556z,control,non-search,Communications equipment manufacturing,FALSE,non_search,,389
j0b7556z,control,non-search,Offices of holding companies,FALSE,non_search,,76
j0b7556z,control,non-search,"Investments, funds and trusts",FALSE,non_search,,598
j0b7556z,control,non-search,Electronic shopping and auctions,FALSE,non_search,,634
j0b7556z,control,non-search,Aerospace product and part manufacturing,FALSE,non_search,,45
j0b79k2i,control,non-search,Home furnishing stores,FALSE,non_search,,889
j0b79k2i,control,non-search,Wholesale lumber and construction supplies,FALSE,non_search,,2064
j0b79k2i,control,non-search,Land subdivision,FALSE,non_search,,1030
j0b79k2i,control,non-search,General rental centers,FALSE,non_search,,197
j0b79k2i,control,non-search,Household appliance stores,FALSE,non_search,,78
j0b79k2i,control,non-search,Laundromats and dry cleaning services,FALSE,non_search,,624
j0b79k2i,control,non-search,Metalworking machinery manufacturing,FALSE,non_search,,151
j0b79k2i,control,non-search,Diagnostic imaging centers,FALSE,non_search,,213
j0b79k2i,control,non-search,Coal mining,FALSE,non_search,,99
j0b79k2i,control,non-search,Electronic trade markets and brokers,FALSE,non_search,,501
j0b79k2i,control,non-search,Biotechnology research,FALSE,non_search,,81
j0b79k2i,control,non-search,Aerospace product and part manufacturing,FALSE,non_search,,524
j0b79k2i,control,non-search,Architectural services,FALSE,non_search,,125
j0b79k2i,control,non-search,For-sale home builders,FALSE,non_search,,244
j0b79k2i,control,non-search,Land subdivision,FALSE,non_search,,135
j0b79k2i,control,non-search,Building foundation and exterior contractors,FALSE,non_search,,110
j0b79k2i,control,non-search,Securities and commodity contracts,FALSE,non_search,,3103
