postId,condition,time_diff_exploration,strategy_locate,strategy_active_search_array,used_search,strategy_active_search_num
j70zcucf,foresight,783884,yes,[],search,0
j70zdmsv,foresight,482661,yes,"[""fair bluff university""]",search,1
j70zqzlh,foresight,76369,not sure,[],non-search,0
j71by706,control,164452,not sure,[],non-search,0
j710obbr,foresight,103775,no,[],non-search,0
j712u7xx,control,116876,no,[],non-search,0
j71a2f2b,foresight,88516,no,[],search,0
j70zjyew,foresight,39627,yes,"[""coolville institute of arts""]",search,1
j71b4cj1,foresight,123719,yes,"[""buffalo springs college"",""covenant life institute"",""castine college"",""woodbury heights community college""]",search,4
j71c2a38,foresight,83825,no,[],search,0
j7107uga,foresight,116510,yes,"[""south ashburnham institute of technology"",""university of candler""]",search,2
j71a9vnz,control,165714,no,[],non-search,0
j7110eb9,foresight,332306,yes,[],search,0
j7102409,foresight,80453,not sure,[],search,0
j71a3akt,foresight,121767,yes,[],search,0
j70zia3g,foresight,101489,no,[],non-search,0
j71jaha4,foresight,86620,not sure,[],search,0
j71aft2o,control,170353,no,[],non-search,0
j70zwkga,foresight,59524,not sure,[],search,0
j714y8hi,control,93287,no,[],non-search,0
j710llmj,foresight,107441,no,[],non-search,0
j71bp266,foresight,151446,yes,[],search,0
j70zlxl7,control,113096,not sure,[],non-search,0
j71aiddc,foresight,424840,no,[],search,0
j70zdmat,foresight,51255,no,[],non-search,0
j711pft1,foresight,29686,no,[],non-search,0
j71a12kq,foresight,93618,no,[],non-search,0
j71bu5ba,control,148511,yes,[],non-search,0
j70zud4j,foresight,85976,no,[],non-search,0
j7101pm7,control,236368,no,[],non-search,0
j70zl8da,foresight,236816,no,[],search,0
j710ek1u,foresight,28440,yes,"[""goodwell institute of technology""]",search,1
j70zfp6j,control,81159,yes,[],non-search,0
j7111vqu,foresight,216322,no,[],non-search,0
j71a43dy,foresight,19651,no,[],search,0
j70zlvgh,foresight,90534,no,[],search,0
j710qyjj,control,295979,no,[],non-search,0
j70zcuh1,foresight,136116,no,[],non-search,0
j70zd1ur,foresight,64675,no,[],non-search,0
j71clhbb,control,129292,no,[],non-search,0
j70zffiv,control,11132,no,[],non-search,0
j71a3nrv,control,67592,yes,"[""magee institute of technology"",""mifflinville college"",""university of parkman"",""fair bluff university""]",non-search,4
j7110fm1,foresight,76530,no,[],non-search,0
j70zpyrg,foresight,168912,not sure,[],search,0
j70zi3gl,control,101381,no,[],non-search,0
j70znw8z,control,60838,no,[],non-search,0
j70zdwc4,foresight,32057,no,[],search,0
j71aeqxo,control,37618,no,[],non-search,0
j71014i1,foresight,177108,no,[],non-search,0
j710n6nc,control,51455,no,[],non-search,0
j70zfd7e,foresight,68159,no,[],search,0
j71146yr,foresight,88049,no,[],search,0
j70zdz5r,control,147037,no,[],non-search,0
j71a6ea8,foresight,414068,no,[],search,0
j71acvcy,foresight,130932,yes,"[""marydel institute of technology"",""mantee institute of technology""]",search,2
j71020m6,control,93743,no,[],non-search,0
j70ze22z,control,130603,yes,[],non-search,0
j711wfsj,foresight,78724,no,[],non-search,0
j7143vf8,foresight,21309,no,[],non-search,0
j70zn7nb,control,126562,no,[],non-search,0
j70zyw0f,control,126181,yes,[],non-search,0
j71aoemo,foresight,1226948,not sure,[],search,0
j71a2onx,foresight,18678,no,[],search,0
j710nele,foresight,77062,yes,"[""castine college""]",search,1
j71a8a6z,foresight,79084,no,[],non-search,0
j70zd3qp,foresight,66705,yes,[],search,0
j71b8d1j,control,198795,no,[],non-search,0
j71a16va,foresight,56857,no,[],non-search,0
j70zzbul,foresight,116083,no,[],search,0
j710ma1a,foresight,50003,yes,"[""aguadilla institute"",""rolling hills estates community college""]",search,2
j71bqxtt,foresight,75582,no,[],non-search,0
j71a823j,control,41179,yes,"[""university of forest glen"",""brushy state university"",""lester prairie university""]",non-search,3
