postId,condition,used_search,chart,if_located,search_state,search_content,duration
j70zcucf,foresight,search,Camdenton College,FALSE,not_using_box,,21
j70zcucf,foresight,search,Tallaboa Alta Community College,FALSE,not_using_box,,8
j70zcucf,foresight,search,University of Krupp,FALSE,not_using_box,,23
j70zcucf,foresight,search,Williford Institute,FALSE,not_using_box,,16
j70zcucf,foresight,search,Mitchellville Community College,FALSE,not_using_box,,12
j70zcucf,foresight,search,Blanco Institute,FALSE,not_using_box,,59
j70zcucf,foresight,search,Champaign Institute of Technology,FALSE,not_using_box,,382
j70zcucf,foresight,search,Indian Head Community College,FALSE,not_using_box,,1030
j70zcucf,foresight,search,Coolville Institute of Arts,FALSE,not_using_box,,1081
j70zcucf,foresight,search,Bratenahl Institute,FALSE,not_using_box,,976
j70zcucf,foresight,search,Lochearn Institute,FALSE,not_using_box,,13
j70zcucf,foresight,search,Tranquillity State University,FALSE,not_using_box,,7
j70zcucf,foresight,search,Tonica State University,FALSE,not_using_box,,9
j70zcucf,foresight,search,University of Krupp,FALSE,not_using_box,,7
j70zcucf,foresight,search,Summitview Community College,FALSE,not_using_box,,10
j70zcucf,foresight,search,Cooter State University,FALSE,not_using_box,,12
j70zcucf,foresight,search,Glen Ullin Institute of Arts,FALSE,not_using_box,,15
j70zcucf,foresight,search,University of Minden City,FALSE,not_using_box,,39
j70zcucf,foresight,search,University of Naples Manor,FALSE,not_using_box,,277
j70zcucf,foresight,search,Glen Echo Park Institute of Arts,FALSE,not_using_box,,66
j70zcucf,foresight,search,Climax Springs Institute of Arts,FALSE,not_using_box,,140
j70zcucf,foresight,search,University of Great Bend,FALSE,not_using_box,,700
j70zcucf,foresight,search,University of Great Bend,FALSE,not_using_box,,5396
j70zcucf,foresight,search,Spanish Lake State University,FALSE,not_using_box,,88
j70zcucf,foresight,search,Willowbrook State University,FALSE,not_using_box,,1379
j70zcucf,foresight,search,Fall Creek College,FALSE,not_using_box,,4663
j70zcucf,foresight,search,Cutler State University,FALSE,not_using_box,,86
j70zcucf,foresight,search,Buffalo Springs College,FALSE,not_using_box,,5472
j70zcucf,foresight,search,Lake Park Institute of Arts,FALSE,not_using_box,,1102
j70zcucf,foresight,search,Falfurrias University,FALSE,not_using_box,,28
j70zcucf,foresight,search,Fall Creek College,FALSE,not_using_box,,6
j70zcucf,foresight,search,Marydel Institute of Technology,FALSE,not_using_box,,12
j70zcucf,foresight,search,Honokaa Institute of Arts,FALSE,not_using_box,,16
j70zcucf,foresight,search,McRae Community College,FALSE,not_using_box,,32
j70zcucf,foresight,search,University of Candler,FALSE,not_using_box,,48
j70zcucf,foresight,search,Williams Bay Institute,FALSE,not_using_box,,5
j70zcucf,foresight,search,Antelope Hills State University,FALSE,not_using_box,,4514
j70zcucf,foresight,search,Kane Institute of Arts,FALSE,not_using_box,,5150
j70zcucf,foresight,search,Lexa Institute of Technology,FALSE,not_using_box,,2113
j70zcucf,foresight,search,Kirkersville Institute of Technology,FALSE,not_using_box,,35
j70zcucf,foresight,search,Batchtown Community College,FALSE,not_using_box,,36
j70zcucf,foresight,search,Brushy State University,FALSE,not_using_box,,21
j70zcucf,foresight,search,Kiawah Island State University,FALSE,not_using_box,,10
