postId,condition,used_search,chart,if_located,search_state,search_content,duration
j0fjrfjo,foresight,search,Priceline Group ,FALSE,not_using_box,,35
j0fjrfjo,foresight,search,Walt Disney ,TRUE,not_using_box,,3468
j0fjrfjo,foresight,search,Microsoft ,FALSE,not_using_box,,16
j0fjrfjo,foresight,search,Microsoft ,FALSE,not_using_box,,14
j0fjrfjo,foresight,search,Verizon Communications,FALSE,not_using_box,,8
j0fjrfjo,foresight,search,Walt Disney ,TRUE,not_using_box,,88
j0fjrfjo,foresight,search,Priceline Group ,FALSE,not_using_box,,324
j0fjrfjo,foresight,search,Walt Disney ,TRUE,not_using_box,,2708
j0fjrfjo,foresight,search,Verizon Communications,FALSE,not_using_box,,544
j0fjrfjo,foresight,search,Mondelez International ,FALSE,not_using_box,,32
j0fjrfjo,foresight,search,American Express,FALSE,not_using_box,,617
j0fjrfjo,foresight,search,Accenture ,FALSE,not_using_box,,180
j0fjrfjo,foresight,search,Caterpillar,FALSE,not_using_box,,187
j0fjrfjo,foresight,search,Dominion Resources,FALSE,not_using_box,,232
j0fjrfjo,foresight,search,Capital One Financial ,FALSE,not_using_box,,232
j0fjrfjo,foresight,search,LyondellBasell Industries ,FALSE,not_using_box,,64
j0fjrfjo,foresight,search,Marsh & McLennan Companies,FALSE,not_using_box,,209
j0fjrfjo,foresight,search,BB&T ,FALSE,not_using_box,,336
j0fjrfjo,foresight,search,VF,FALSE,not_using_box,,127
j0fjrfjo,foresight,search,Cerner ,FALSE,not_using_box,,200
j0fjrfjo,foresight,search,Welltower ,FALSE,not_using_box,,967
j0fjrfjo,foresight,search,Crown Castle International,FALSE,not_using_box,,193
j0fjrfjo,foresight,search,VF,FALSE,not_using_box,,88
j0fjrfjo,foresight,search,BB&T ,FALSE,not_using_box,,56
j0fjrfjo,foresight,search,Cognizant Technology Solutions,FALSE,not_using_box,,16
j0fjrfjo,foresight,search,LyondellBasell Industries ,FALSE,not_using_box,,112
j0fjrfjo,foresight,search,Capital One Financial ,FALSE,not_using_box,,144
j0fjrfjo,foresight,search,Reynolds American,FALSE,not_using_box,,16
j0fjrfjo,foresight,search,Costco Wholesale ,FALSE,not_using_box,,264
j0fjrfjo,foresight,search,Wal-Mart Stores,FALSE,not_using_box,,1074
j0fjrfjo,foresight,search,Coca-Cola,FALSE,not_using_box,,49
j0fjrfjo,foresight,search,Alphabet ,FALSE,not_using_box,,576
j0fjrfjo,foresight,search,Apple,FALSE,not_using_box,,543
j0fjrfjo,foresight,search,Walt Disney ,TRUE,not_using_box,,4587
j0fjrfjo,foresight,search,Verizon Communications,FALSE,not_using_box,,1145
j0fjrfjo,foresight,search,Alphabet ,FALSE,not_using_box,,608
j0fjrfjo,foresight,search,Apple,FALSE,not_using_box,,2196
j0fjrfjo,foresight,search,Alphabet ,FALSE,not_using_box,,188
j0fjrfjo,foresight,search,Microsoft ,FALSE,not_using_box,,608
j0fjrfjo,foresight,search,Exxon Mobil ,FALSE,not_using_box,,120
j0fjrfjo,foresight,search,Berkshire Hathaway,FALSE,not_using_box,,217
j0fjrfjo,foresight,search,Amazon.com,FALSE,not_using_box,,199
