postId,condition,time_diff_exploration,strategy_locate,strategy_active_search_array,used_search,strategy_active_search_num
j6zw8rpo,foresight,473686,yes,"[""johns hopkins university"",""harvard university"",""massachusetts institute of technology"",""pepperdine university""]",search,4
j6zv4qrp,control,94172,yes,"[""stanford university"",""harvard university"",""yale university"",""liberty university"",""cornell university""]",non-search,5
j6zh07ej,control,64990,yes,"[""dartmouth college"",""princeton university""]",non-search,2
j6ztny0l,foresight,328820,yes,"[""the juilliard school"",""york college pennsylvania"",""university of pennsylvania"",""princeton university"",""yale university"",""york college"",""university of california-berkeley"",""new york school of interior design"",""pennsylvania college of art and design"",""delaware state university""]",search,10
j6zhblmm,foresight,1795,no,[],non-search,0
j6zue63k,control,215265,yes,"[""yale university"",""princeton university"",""harvard university"",""duke university"",""cornell university"",""brown university"",""columbia university in the city of new york"",""university of pennsylvania""]",non-search,8
j6zgzxw7,foresight,69034,not sure,"[""stanford university""]",search,1
j6zvsq1t,foresight,92179,no,[],search,0
j6zeq1fd,control,107177,no,[],non-search,0
j6ztwie8,foresight,279238,yes,"[""university of michigan-ann arbor"",""boston college""]",search,2
j6zudq60,control,90060,no,[],non-search,0
j6zh6pxe,control,122073,yes,"[""university of north carolina at chapel hill""]",non-search,1
j6zilc3d,foresight,47645,no,[],search,0
j6zh9c1l,control,122762,no,[],non-search,0
j6zgzvxh,foresight,32823,yes,"[""yale university""]",search,1
j6zvetr4,foresight,208744,yes,"[""duke university""]",search,1
j6ztgdk0,control,297316,yes,"[""university of michigan-ann arbor"",""reed college""]",non-search,2
j6zuve88,control,117167,yes,"[""university of pennsylvania"",""california institute of technology"",""massachusetts institute of technology"",""harvard university"",""stanford university"",""yale university"",""princeton university"",""stony brook university"",""american university""]",non-search,9
j6zh1dec,control,105501,no,[],non-search,0
j6zv2aid,control,49038,no,[],non-search,0
j6zhdte5,control,9905,yes,"[""harvard university""]",non-search,1
j6zi0uos,control,53345,no,[],non-search,0
j6zitqot,foresight,77614,yes,"[""harvard university"",""columbia university in the city of new york"",""johns hopkins university"",""northwestern university"",""massachusetts institute of technology"",""stanford university"",""princeton university"",""cornell university"",""duke university"",""dartmouth college""]",search,10
j6zvbc8m,control,227662,yes,[],non-search,0
j6zhypti,foresight,135530,yes,"[""texas a & m international university"",""the university of texas at austin"",""harvard university""]",search,3
j6zhf39n,foresight,29526,yes,[],non-search,0
j6ztfjq4,control,91965,not sure,[],non-search,0
j6ztg2qq,control,114779,no,[],non-search,0
