postId,condition,time_diff_exploration,strategy_locate,strategy_active_search_array,used_search,strategy_active_search_num
j79s3bev,foresight,68012,not sure,[],non-search,0
j79dd5t9,foresight,461469,no,[],search,0
j79el9gp,foresight,125481,no,[],search,0
j79s3jx3,control,39265,no,[],non-search,0
j79ew7xk,foresight,33604,no,[],non-search,0
j79cxlsc,foresight,134239,no,[],search,0
j79d6cg1,foresight,64710,no,[],search,0
j79d9037,foresight,44906,yes,[],search,0
j79s18dj,foresight,151243,no,[],search,0
j79dxam6,foresight,75934,not sure,[],search,0
j79s2flw,foresight,81306,no,[],search,0
j79qjl6p,control,156610,not sure,[],non-search,0
j79cvowe,control,51026,no,[],non-search,0
j79s0jen,foresight,89257,no,[],search,0
j79s4fi1,foresight,136474,no,[],search,0
j79d4oxk,control,344227,no,[],non-search,0
j79cvji3,foresight,100590,yes,"[""gliese 876 b"",""corot-2 b"",""corot-11 b""]",search,3
j79cvp8z,foresight,548983,no,[],search,0
j79s40ra,foresight,58888,yes,"[""corot-14 b""]",search,1
j79sewhd,foresight,20305,no,[],search,0
j79s120x,control,61550,no,[],non-search,0
j79g39oa,control,178565,not sure,[],non-search,0
j79dy6m6,control,135433,no,[],non-search,0
j79voxls,control,79259,no,[],non-search,0
j79ekcs9,control,51990,yes,"[""gliese 876 c"",""gliese 876 d""]",non-search,2
j79s0fw5,foresight,206645,yes,"[""hd 125595 b""]",search,1
j79f9d0b,control,59244,yes,[],non-search,0
j79s2a5z,foresight,67563,no,[],non-search,0
j79s9639,foresight,73984,no,[],non-search,0
j79de3zr,control,33842,no,[],non-search,0
j79eputv,control,50152,no,[],non-search,0
j79sbr6u,foresight,138779,no,[],non-search,0
j79uqd4n,foresight,195412,not sure,[],search,0
j79d8knn,control,171711,no,[],non-search,0
j79e61w3,control,186272,not sure,[],non-search,0
j79daeny,foresight,248520,yes,"[""fomalhaut b""]",search,1
j79duqyp,foresight,279146,yes,"[""ct cha b"",""alf cen b b""]",search,2
j79dtghx,foresight,222971,yes,"[""51 peg b""]",search,1
j79d8gjx,control,49707,no,[],non-search,0
j79ef0xh,control,145362,no,[],non-search,0
j79s2nv9,control,30099,no,[],non-search,0
j79dvbyd,foresight,107199,no,[],search,0
