postId,condition,used_search,chart,active_search_factor,search_state,search_content,duration
j79s3bev,foresight,non-search,24 Sex c,FALSE,non_search,,18
j79s3bev,foresight,non-search,HD 153950 b,FALSE,non_search,,16
j79s3bev,foresight,non-search,HD 106515A b,FALSE,non_search,,17
j79s3bev,foresight,non-search,HD 13808 c,FALSE,non_search,,68
j79s3bev,foresight,non-search,GJ 317 b,FALSE,non_search,,33
j79s3bev,foresight,non-search,Gl 163 c,FALSE,non_search,,17
j79s3bev,foresight,non-search,47 Uma c,FALSE,non_search,,15
j79s3bev,foresight,non-search,HD 104067 b,FALSE,non_search,,17
j79s3bev,foresight,non-search,HD 168443 c,FALSE,non_search,,15
j79s3bev,foresight,non-search,HD 11977 b,FALSE,non_search,,18
j79s3bev,foresight,non-search,GQ Lup b,FALSE,non_search,,33
j79s3bev,foresight,non-search,CoRoT-2 b,FALSE,non_search,,28
j79s3bev,foresight,non-search,CoRoT-2 b,FALSE,non_search,,17
j79s3bev,foresight,non-search,CoRoT-2 b,FALSE,non_search,,42
j79s3bev,foresight,non-search,2M 044144 b,FALSE,non_search,,197
j79s3bev,foresight,non-search,HD 158038 b,FALSE,non_search,,17
j79s3bev,foresight,non-search,11 UMi b,FALSE,non_search,,33
j79s3bev,foresight,non-search,HAT-P-25 b,FALSE,non_search,,34
j79s3bev,foresight,non-search,HAT-P-38 b,FALSE,non_search,,116
j79s3bev,foresight,non-search,HD 163607 b,FALSE,non_search,,465
j79s3bev,foresight,non-search,BD20 2457 b,FALSE,non_search,,10129
j79s3bev,foresight,non-search,HD 163607 b,FALSE,non_search,,116
j79s3bev,foresight,non-search,6 Lyn b,FALSE,non_search,,86
j79s3bev,foresight,non-search,gamma 1 Leo b,FALSE,non_search,,32
j79s3bev,foresight,non-search,2M 2140+16 b,FALSE,non_search,,66
j79s3bev,foresight,non-search,CFBDS 1458 b,FALSE,non_search,,33
j79s3bev,foresight,non-search,HD 10647 b,FALSE,non_search,,2166
j79s3bev,foresight,non-search,Gl 179 b,FALSE,non_search,,1029
j79s3bev,foresight,non-search,61 Vir c,FALSE,non_search,,67
j79s3bev,foresight,non-search,2M 0746+20 b,FALSE,non_search,,770
j79s3bev,foresight,non-search,47 Uma c,FALSE,non_search,,1806
j79s3bev,foresight,non-search,55 Cnc d,FALSE,non_search,,735
j79s3bev,foresight,non-search,GJ 436 b,FALSE,non_search,,16
j79s3bev,foresight,non-search,Gl 581 b,FALSE,non_search,,17
j79s3bev,foresight,non-search,GJ 674 b,FALSE,non_search,,17
j79s3bev,foresight,non-search,Gliese 876 b,FALSE,non_search,,16
j79s3bev,foresight,non-search,GJ 433 c,FALSE,non_search,,16
j79s3bev,foresight,non-search,Gl 649 b,FALSE,non_search,,67
j79s3bev,foresight,non-search,HD 147513 b,FALSE,non_search,,32
j79s3bev,foresight,non-search,16 Cyg B b,FALSE,non_search,,83
j79s3bev,foresight,non-search,HD 137388 b,FALSE,non_search,,150
j79s3bev,foresight,non-search,HD 13931 b,FALSE,non_search,,216
j79s3bev,foresight,non-search,HD 175167 b,FALSE,non_search,,69
j79s3bev,foresight,non-search,1RXS1609 b,FALSE,non_search,,279
j79s3bev,foresight,non-search,HAT-P-21 b,FALSE,non_search,,712
j79s3bev,foresight,non-search,HAT-P-6 b,FALSE,non_search,,211
j79s3bev,foresight,non-search,HAT-P-14 b,FALSE,non_search,,1715
j79s3bev,foresight,non-search,HD 102956 b,FALSE,non_search,,39
j79s3bev,foresight,non-search,eps CrB b,FALSE,non_search,,50
j79s3bev,foresight,non-search,eps Tau b,FALSE,non_search,,1754
j79s3bev,foresight,non-search,BD14 4559 b,FALSE,non_search,,17
j79s3bev,foresight,non-search,HD 164509 b,FALSE,non_search,,17
j79s3bev,foresight,non-search,11 Com b,FALSE,non_search,,99
j79s3bev,foresight,non-search,HAT-P-6 b,FALSE,non_search,,136
j79s3bev,foresight,non-search,HAT-P-9 b,FALSE,non_search,,968
j79s3bev,foresight,non-search,CoRoT-3 b,FALSE,non_search,,33
j79s3bev,foresight,non-search,CoRoT-23 b,FALSE,non_search,,33
j79s3bev,foresight,non-search,HAT-P-13 c,FALSE,non_search,,34
j79s3bev,foresight,non-search,HD 104985 b,FALSE,non_search,,17
j79s3bev,foresight,non-search,14 And b,FALSE,non_search,,32
j79s3bev,foresight,non-search,AB Pic b,FALSE,non_search,,768
j79s3bev,foresight,non-search,HAT-P-41 b,FALSE,non_search,,27
j79s3bev,foresight,non-search,HD 126614 b,FALSE,non_search,,18
j79s3bev,foresight,non-search,HD 147018 c,FALSE,non_search,,32
j79s3bev,foresight,non-search,HD 111232 b,FALSE,non_search,,17
j79s3bev,foresight,non-search,HD 113538 c,FALSE,non_search,,167
j79s3bev,foresight,non-search,HD 167042 b,FALSE,non_search,,65
j79s3bev,foresight,non-search,HD 158038 b,FALSE,non_search,,99
j79s3bev,foresight,non-search,11 UMi b,FALSE,non_search,,65
j79s3bev,foresight,non-search,HAT-P-31 b,FALSE,non_search,,16
j79s3bev,foresight,non-search,CoRoT-14 b,FALSE,non_search,,49
j79s3bev,foresight,non-search,CoRoT-14 b,FALSE,non_search,,1180
j79s3bev,foresight,non-search,HAT-P-38 b,FALSE,non_search,,18
j79s3bev,foresight,non-search,HD 181342 b,FALSE,non_search,,15
j79s3bev,foresight,non-search,HD 163607 b,FALSE,non_search,,17
j79s3bev,foresight,non-search,HD 100777 b,FALSE,non_search,,51
j79s3bev,foresight,non-search,HD 100777 b,FALSE,non_search,,1666
j79s3bev,foresight,non-search,HD 12661 c,FALSE,non_search,,84
j79s3bev,foresight,non-search,CFBDS 1458 b,FALSE,non_search,,840
j79s3bev,foresight,non-search,HD 102195 b,FALSE,non_search,,18
j79s3bev,foresight,non-search,HD 117207 b,FALSE,non_search,,16
j79s3bev,foresight,non-search,HD 109246 b,FALSE,non_search,,17
j79s3bev,foresight,non-search,HAT-P-19 b,FALSE,non_search,,16
j79s3bev,foresight,non-search,HAT-P-33 b,FALSE,non_search,,33
j79dd5t9,foresight,search,HAT-P-4 b,FALSE,not_using_box,,12
j79dd5t9,foresight,search,HD 152581 b,FALSE,not_using_box,,9
